,1,2,3,4,5,6,7,8,9,10,11,12
A,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
B,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250
C,4333,4333,4333,4333,4333,4333,4333,4333,4333,4333,4333,4333
D,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
