,1,2,3,4,5,6,7,8,9,10,11,12
A,1126992.816,1126992.816,1408741.02,1082196.555,1082196.555,1352745.694,1141206.588,1141206.588,1426508.235,1012464.315,1012464.315,1265580.394
B,488821.034,488821.034,611026.2925,652531.1669,652531.1669,815663.9586,571149.8928,571149.8928,713937.3661,548948.1667,548948.1667,686185.2084
C,359485.6167,359485.6167,449357.0208,382271.6815,382271.6815,477839.6019,396165.9226,396165.9226,495207.4033,374309.8307,374309.8307,467887.2883
D,256775.3506,256775.3506,320969.1883,393082.2622,393082.2622,491352.8277,254524.4829,254524.4829,318155.6037,275615.3994,275615.3994,344519.2492
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
