,1,2,3,4,5,6,7,8,9,10,11,12
A,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598
B,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809
C,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846
D,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
E,0,0,0,0,0,0,0,0,0,0,0,0
F,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
G,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
H,902,902,902,902,902,902,902,902,902,902,902,902
I,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
