,1,2,3,4,5,6,7,8,9,10,11,12
A,1503464.01,1503464.01,1879330.013,1872861.335,1872861.335,2341076.668,1561627.397,1561627.397,1952034.246,1698792.46,1698792.46,2123490.575
B,99299.17569,99299.17569,124123.9696,110148.4902,110148.4902,137685.6127,50516.8371,50516.8371,63146.04638,78770.26581,78770.26581,98462.83227
C,55187.53477,55187.53477,68984.41846,58452.00461,58452.00461,73065.00576,5566.857582,5566.857582,6958.571978,27834.28791,27834.28791,34792.85989
D,27162.61477,27162.61477,33953.26846,28947.57666,28947.57666,36184.47082,2756.912063,2756.912063,3446.140079,13784.56031,13784.56031,17230.70039
E,0,0,0,0,0,0,0,0,0,0,0,0
F,75514.85631,75514.85631,94393.57038,199089.2308,199089.2308,248861.5385,250416.9231,250416.9231,313021.1538,127541.5385,127541.5385,159426.9231
G,39242.66492,39242.66492,49053.33115,45320.79692,45320.79692,56650.99615,40930.56831,40930.56831,51163.21038,33543.73569,33543.73569,41929.66962
H,36173.89108,36173.89108,45217.36385,27708.55477,27708.55477,34635.69346,25865.11292,25865.11292,32331.39115,19058.74985,19058.74985,23823.43731
I,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
